	System index	System clixo/louvain name	Genes	Selection pressure	p	q	Mutation model input	Rank of model input	Mutation count
219	21734	23333	MTDH,CLTC,PICALM,AP2B1,EPS15,AP2A1,AP1S2,AP2A2,AP2M1,AP2S1,AP1B1,CLINT1,AP1G1,AP1M1,AP1M2,AP1S1	0.000020	0.0577	0.5786	0.596|0.571|0.568|0.543|0.271|0.043|0.005|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	550|605|611|668|1855|3697|4130|17469|17469|17469|17469|17469|17469|17469|17469|17469	7|19|9|12|12|5|2|5|2|1|12|3|6|1|2|0
220	21200	22796	BRAF,SIKE1,TIPRL,PPP2CA,PPP2CB,IGBP1	0.000015	0.0583	0.5819	0.491|0.091|0.052|0.0|0.0|0.0	825|3267|3616|17469|17469|17469	13|3|3|2|2|2
221	20419	22015	PEX19,PEX13,PEX5,PEX14	0.000045	0.0595	0.5912	0.338|0.178|0.0|0.0	1455|2524|17469|17469	6|4|1|2
222	20231	21827	LARS,SDCBP,EEF1E1,RARS	0.000074	0.0598	0.5916	0.374|0.19|0.042|0.0	1261|2408|3709|17469	12|4|2|6
223	22414	cut0.3-408	AQP7,AQP2,AQP5,AQP6,C1QTNF1,AVPR2,AQP1,AQP3,AQP4	0.000172	0.0611	0.6003	0.579|0.215|0.211|0.185|0.0|0.0|0.0|0.0|0.0	584|2228|2258|2455|17469|17469|17469|17469|17469	6|4|4|4|6|3|3|2|4
224	21607	23204	KIAA1522,WASF2,NCKAP1,ABI2,ABI1,WASF1,NCK2,CBLB,CYFIP1,BAIAP2,BRK1	0.000064	0.0613	0.6003	0.569|0.561|0.354|0.268|0.176|0.109|0.054|0.038|0.0|0.0|0.0	608|626|1370|1880|2542|3074|3596|3746|17469|17469|17469	16|8|12|7|5|6|5|11|8|5|0
225	22371	cut0.3-365	PAX3,MEOX2,SOX10,HDAC10,MEOX1	0.000176	0.0615	0.6003	0.614|0.32|0.0|0.0|0.0	514|1544|17469|17469|17469	10|6|2|3|2
226	20420	22016	SRSF1,SRSF2,SRSF9,U2AF2	0.000013	0.0618	0.6006	0.506|0.394|0.061|0.0	772|1177|3532|17469	6|5|3|4
227	20937	22533	KDM2B,RNF2,RYBP,YAF2,BCOR	0.000019	0.0627	0.6026	0.576|0.284|0.088|0.063|0.0	594|1767|3285|3519|17469	14|5|2|2|13
228	21138	22734	GAR1,NOP10,NHP2,NAF1,DKC1,NOP56	0.000045	0.0628	0.6026	0.271|0.234|0.098|0.0|0.0|0.0	1855|2091|3186|17469|17469|17469	4|2|2|4|2|6
229	20250	21846	GSTM5,GSTM3,GSTM2,GSTM4	0.000027	0.0630	0.6026	0.137|0.119|0.0|0.0	2830|2992|17469|17469	4|4|3|0
230	22439	cut0.3-431	HIST2H2BE,HIST1H2BF,HIST1H2BI,HIST1H2BG,HIST1H2BJ,HIST1H2BK,HIST3H2BB,HIST1H2AC,TOX,HIST2H2BF,TOX2,HIST1H2BC,HIST1H2BD,HIST1H2BE,HIST1H2BN,HIST1H2BO	0.000422	0.0631	0.6026	0.836|0.5|0.473|0.344|0.256|0.254|0.137|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	223|797|879|1422|1951|1966|2830|17469|17469|17469|17469|17469|17469|17469|17469|17469	8|5|7|5|4|4|2|3|6|2|6|4|5|1|2|2
231	20815	22411	SERPINC1,AHSG,KNG1,RBP4,AMBP	0.000050	0.0638	0.6066	0.672|0.281|0.0|0.0|0.0	401|1790|17469|17469|17469	8|6|4|4|0
232	21878	23478	60 genes including: ACTB,IPO7,CAP1,NUP107,KPNA1,ACTG1,EML1,TNPO1,ATP6V1H,PSMD1,TUBA1A,ARPC2,LRRK2,NUP93,TNPO3,TUBB2A,MAPRE1,GNAI3,POLR2B,TUBB6,NUP37,NUP88,IMMT,CCT2,ACTR8,ARPC3,CYFIP1,TCP1,HDAC6,SAMM50,TUBA1C,TNPO2,IPO4,IPO5,IPO8,CCT3,HSPA1B,TUBA4A,NUP160,TUBB4A,ATP5B,NUP50,NUP54,CSE1L,CKAP5,TUBA1B,TBCB,TUBB,TUBB2B,TUBB3	0.000596	0.0649	0.6145	1.209|0.981|0.885|0.879|0.775|0.742|0.636|0.532|0.529|0.491|0.464|0.373|0.321|0.3|0.28|0.254|0.236|0.236|0.227|0.145|0.136|0.124|0.109|0.084|0.021|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	57|118|184|191|279|309|465|693|702|825|911|1270|1539|1665|1798|1966|2084|2084|2142|2765|2842|2951|3074|3320|3950|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	17|20|12|12|10|11|11|12|8|8|8|5|33|9|13|6|4|6|12|7|4|9|9|5|8|0|8|3|10|4|3|4|6|9|12|6|3|2|13|4|4|4|1|10|13|3|1|4|4|6
233	21178	22774	SCFD1,USE1,NBAS,STX18,SCFD2,BNIP1	0.000004	0.0662	0.6241	0.316|0.145|0.0|0.0|0.0|0.0	1566|2765|17469|17469|17469|17469	7|4|13|2|4|2
234	21487	23083	BRCA1,BARD1,NBN,BLM,RAD50,MRE11,TERF2,MDC1,RBBP8	0.000115	0.0670	0.6289	1.175|0.83|0.573|0.547|0.0|0.0|0.0|0.0|0.0	62|230|601|655|17469|17469|17469|17469|17469	21|11|11|16|12|0|4|14|10
235	21314	22910	MRPS22,LRPPRC,TRMT10C,DAP3,MRPS2,MRPL15,PTCD3	0.000084	0.0677	0.6328	0.523|0.331|0.087|0.0|0.0|0.0|0.0	718|1486|3295|17469|17469|17469|17469	7|14|5|5|1|1|6
236	21668	23266	TP53,HUS1B,RAD17,MSH2,FEN1,CDT1,RAD9A,HUS1,COPS5,MSH3,CDK2,MSH6,RAD1	0.000090	0.0691	0.6406	3.608|0.554|0.441|0.405|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	1|640|987|1135|17469|17469|17469|17469|17469|17469|17469|17469|17469	200|6|8|11|3|3|2|2|2|6|1|10|3
237	20202	21798	CHD1,ATRX,PHIP,TMPO	0.000088	0.0692	0.6406	0.782|0.31|0.0|0.0	270|1605|17469|17469	18|22|10|8
238	20364	21960	STAT1,DDX58,MAVS,IFIH1	0.000041	0.0694	0.6406	0.688|0.161|0.0|0.0	374|2654|17469|17469	11|9|5|8
239	21530	23127	EP300,CREBBP,TCF12,SKP2,NEUROD1,TWIST1,ID1,ID2,ID3,TCF3	0.000178	0.0699	0.6425	2.061|1.788|0.514|0.307|0.05|0.0|0.0|0.0|0.0|0.0	11|16|745|1624|3637|17469|17469|17469|17469|17469	63|51|8|6|6|0|4|1|1|4
240	21963	cut0.2-58	TCHH,KRT33B,LYG2,KRT38,DSG4,KRT83,HOXC13,HEPHL1,KRT25,KRT26,KRT27,KRT28,KRT31,KRT32,KRT34,KRT35,KRT37,KRT39,SLCO5A1,KRT71,KRT73,KRT74,KRT75,KRT81,KRT82,KRT85,KRT86,PSORS1C2,KRTAP11-1,PADI3,GJA3,KRTAP3-3,LY6G6D,KRT40,S100A3,KRTAP16-1	0.000417	0.0703	0.6435	1.22|0.612|0.475|0.286|0.231|0.205|0.154|0.051|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	56|518|871|1753|2110|2295|2697|3632|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	32|9|5|7|10|6|4|14|3|4|4|4|4|3|3|3|3|4|10|6|4|2|6|2|4|3|2|0|1|4|3|0|2|5|0|0
241	21574	23171	KHDRBS1,CD2AP,DAB2,SRC,SYNJ1,FYN,UBC,GRB2,ITSN2,SH3KBP1	0.000067	0.0707	0.6445	0.546|0.463|0.374|0.324|0.111|0.0|0.0|0.0|0.0|0.0	658|915|1261|1515|3055|17469|17469|17469|17469|17469	9|9|9|6|18|6|6|1|18|5
242	22401	cut0.3-396	BBS9,BBS1,BBS2,BBS10,TTC8,BBS5,BBS7	0.000126	0.0717	0.6509	0.407|0.369|0.131|0.022|0.0|0.0|0.0	1130|1293|2886|3938|17469|17469|17469	13|8|6|8|3|2|6
243	21359	22955	CSNK2A1,LEO1,SUPT4H1,IWS1,SSRP1,TCEA1,SUPT5H	0.000064	0.0724	0.6546	0.889|0.884|0.0|0.0|0.0|0.0|0.0	181|185|17469|17469|17469|17469|17469	12|13|1|5|8|0|11
244	21438	23034	ARHGAP32,SRC,DOCK1,CRK,CRKL,MAP4K5,DOCK2,DOCK5	0.000103	0.0736	0.6627	0.442|0.324|0.311|0.0|0.0|0.0|0.0|0.0	981|1515|1597|17469|17469|17469|17469|17469	23|6|13|4|1|5|12|8
245	20383	21979	ELP4,IKBKAP,ELP2,ELP3	0.000014	0.0749	0.6717	0.496|0.121|0.0|0.0	805|2971|17469|17469	7|12|6|2
246	20758	22354	UBXN2B,FAM104A,ASPSCR1,NSFL1C,VCP	0.000016	0.0755	0.6732	0.349|0.176|0.0|0.0|0.0	1395|2542|17469|17469|17469	5|3|5|6|4
247	22451	cut0.3-442	ZFYVE16,LMTK2,PPP1CA,GYS1,C20orf27,PPP1R11,SH2D4A,PPP1CB,PPP1CC,PPP1R37,PPP1R13L,CSRNP1,PPP1R1A,PPP1R2,PPP1R8,PPP1R3C,PPP1R3D,AATK,PPP1R7,PHACTR1,PHACTR3,SH3RF2	0.000344	0.0757	0.6732	0.784|0.679|0.517|0.471|0.199|0.101|0.043|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	267|391|736|890|2337|3146|3697|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	13|20|7|10|4|2|5|4|2|0|5|3|0|1|4|3|3|8|1|7|6|5
248	19995	21591	EAF2,ELL3,EAF1,MLLT3	0.000051	0.0763	0.6732	0.504|0.276|0.059|0.0	782|1812|3553|17469	6|6|3|6
249	19983	21579	FGFR3,FGF5,FGF2,FGFR1	0.000037	0.0764	0.6732	2.209|0.218|0.0|0.0	8|2203|17469|17469	57|4|0|6
250	20677	22273	RBM39,SAP18,U2AF2,SRSF6,SRSF7	0.000019	0.0766	0.6732	0.412|0.349|0.0|0.0|0.0	1105|1395|17469|17469|17469	9|4|4|4|1
251	21110	22706	EIF4A2,EIF3I,PABPC4,EIF4A1,EIF4E,EIF4G1	0.000040	0.0770	0.6741	0.919|0.483|0.274|0.258|0.083|0.0	158|841|1827|1939|3330|17469	12|7|8|5|3|12
252	21829	23429	TRRAP,KAT7,ZNHIT1,EPC1,SRCAP,ING3,KAT6A,RUVBL1,MORF4L1,ING5,VPS72,MRGBP,BRPF1,EPC2,MEAF6,MYC,YEATS4,ACTR6,BRD8,DMAP1,JADE2,JADE3,HDAC1,BRD1,RUVBL2,MORF4L2,MBTD1,KAT5,KAT6B,JADE1,ING4,EP400	0.000027	0.0788	0.6871	1.345|0.51|0.477|0.392|0.387|0.387|0.353|0.185|0.18|0.152|0.104|0.087|0.007|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	40|757|859|1185|1202|1202|1376|2455|2497|2717|3123|3295|4110|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	38|12|5|9|34|7|17|7|5|4|5|3|8|5|0|3|1|1|10|1|4|4|4|7|2|1|7|4|12|5|2|21
253	20283	21879	HLA-E,HLA-A,B2M,LAP3	0.000013	0.0794	0.6886	0.366|0.271|0.06|0.0	1310|1855|3543|17469	6|5|2|4
254	21071	22667	INO80,INO80E,RUVBL1,ACTR5,INO80B,RUVBL2	0.000009	0.0796	0.6886	0.653|0.24|0.185|0.0|0.0|0.0	436|2053|2455|17469|17469|17469	23|4|7|2|1|2
255	21550	23147	RHOA,NGLY1,CETN2,RAD23A,XPA,CETN3,RAD23B,RPS8,USP5,XPC	0.000045	0.0806	0.6894	1.462|0.587|0.384|0.228|0.039|0.0|0.0|0.0|0.0|0.0	30|568|1215|2130|3737|17469|17469|17469|17469|17469	19|10|4|6|3|2|3|2|3|5
256	21833	23433	CDKN1A,RHOB,RHOA,RAC1,ARHGEF12,CDC42,RAP1GDS1,RAC3,GNG5,VAV1,ROCK1,GLB1,CDC37,ITPR1,TNF,RHO,ARHGDIA,RHOC,PKN3,PSMD9,CNKSR1,ARHGAP1,DIAPH1,RTKN,CDC42EP2,ZDHHC17,DVL3,RHPN1,RHOQ,RAC2,CTSA,NET1,ARHGAP10,ROCK2,DGKQ	0.000293	0.0807	0.6894	2.124|1.713|1.462|0.427|0.342|0.328|0.297|0.07|0.024|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	10|20|30|1048|1435|1497|1684|3455|3911|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	39|25|19|5|15|4|8|3|1|6|9|5|4|18|3|2|2|0|3|3|4|0|5|4|0|1|5|6|1|1|3|3|2|15|3
257	21415	23011	ERBB3,ERBB2,KIF11,TRMT10C,AMD1,PTPN11,EGFR,HNRNPUL2	0.000003	0.0810	0.6894	1.752|1.434|0.122|0.087|0.0|0.0|0.0|0.0	17|33|2968|3295|17469|17469|17469|17469	43|50|8|5|0|4|7|6
258	21776	23375	ZFYVE16,LMTK2,PPP1CA,UBXN2A,CLOCK,PPP1R10,PPP1R11,AURKA,PPP1R2,TPRN,PPP1CB,PPP1CC,PPP1R7,PPP1R8,PPP1R9B,SHOC2,PPP2R1A,TNF,WDR82,TOX4,PPP1R3D	0.000082	0.0812	0.6894	0.784|0.679|0.517|0.457|0.275|0.213|0.101|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	267|391|736|934|1823|2241|3146|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	13|20|7|6|9|12|2|3|1|5|4|2|1|4|2|5|4|3|1|5|3
259	21435	23031	RPS6,EIF5,EIF2S1,EIF2S3,EIF2S2,EIF1B,EIF3C,EIF5B	0.000093	0.0815	0.6894	0.362|0.338|0.267|0.002|0.0|0.0|0.0|0.0	1334|1455|1886|4163|17469|17469|17469|17469	6|7|5|5|1|1|0|9
260	20493	22089	DDX52,RAD51C,RAD51D,RAD51B	0.000001	0.0825	0.6894	0.72|0.363|0.0|0.0	343|1329|17469|17469	10|6|3|4
261	20797	22393	CDK9,KMT2A,ACVRL1,BRD4,CSNK2B	0.000034	0.0828	0.6894	0.332|0.203|0.094|0.092|0.0	1482|2312|3230|3254|17469	7|46|5|13|0
262	22015	cut0.25-170	ZNF816,ZNF845,ZNF28,ZNF813,ZNF468,ZNF320,ZNF765	0.000090	0.0830	0.6894	0.433|0.269|0.075|0.07|0.0|0.0|0.0	1027|1875|3408|3455|17469|17469|17469	10|12|9|8|8|5|3
263	19972	21568	GRIA1,GRIK1,GRIK2,GRIK3	0.000037	0.0831	0.6894	0.788|0.096|0.091|0.021	263|3213|3267|3950	17|10|17|15
264	20607	22203	AKT3,UFC1,UFL1,CDK5RAP3,DDRGK1	0.000005	0.0832	0.6894	0.209|0.169|0.036|0.0|0.0	2265|2600|3779|17469|17469	7|3|7|4|1
265	20514	22110	CDC27,FZR1,CDC16,CDC23	0.000002	0.0836	0.6894	0.683|0.123|0.0|0.0	381|2964|17469|17469	9|5|4|1
266	20828	22424	PIK3C3,ATG14,BECN1,UVRAG,PIK3R4	0.000020	0.0844	0.6894	0.473|0.18|0.0|0.0|0.0	879|2497|17469|17469|17469	12|6|2|4|11
267	20608	22204	COL3A1,EMILIN1,DCN,COL6A3,FBN1	0.000045	0.0845	0.6894	0.388|0.183|0.132|0.0|0.0	1199|2470|2879|17469|17469	15|6|5|29|29
268	20504	22100	CFB,ORM1,C9,SERPINA1	0.000011	0.0845	0.6894	0.237|0.13|0.039|0.0	2075|2894|3737|17469	10|2|8|1
269	21366	22962	DBT,DLD,DLAT,ATP5A1,PDHA1,PDHB,PDHX,DLST	0.000021	0.0847	0.6894	0.661|0.413|0.174|0.133|0.0|0.0|0.0|0.0	419|1101|2565|2865|17469|17469|17469|17469	6|8|6|7|5|2|4|1
270	21405	23001	IMP4,RSL1D1,WDR36,DHX37,UTP11,NOC2L,PWP2,WDR46	0.000090	0.0849	0.6894	0.419|0.314|0.296|0.0|0.0|0.0|0.0|0.0	1074|1580|1689|17469|17469|17469|17469|17469	5|6|14|6|0|7|7|6
271	21031	22627	NGLY1,CFTR,DERL1,RNF5,APOB,VCP	0.000061	0.0850	0.6894	0.587|0.477|0.0|0.0|0.0|0.0	568|859|17469|17469|17469|17469	10|16|1|2|31|4
272	21719	23318	TRRAP,EPC1,ING3,RUVBL1,MORF4L1,VPS72,MRGBP,YEATS4,BRD8,DMAP1,MORF4L2,EPC2,MBTD1,KAT5,EP400	0.000018	0.0866	0.6988	1.345|0.392|0.387|0.185|0.18|0.104|0.087|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	40|1185|1202|2455|2497|3123|3295|17469|17469|17469|17469|17469|17469|17469|17469	38|9|7|7|5|5|3|1|10|1|1|5|7|4|21
273	20376	21972	KAT7,ING5,ING4,MEAF6	0.000019	0.0873	0.6988	0.51|0.152|0.0|0.0	757|2717|17469|17469	12|4|2|0
274	21066	22662	IL6,CD28,LCP2,GRAP2,GRB2,CSF2	0.000027	0.0874	0.6988	0.368|0.155|0.127|0.02|0.0|0.0	1299|2685|2923|3962|17469|17469	5|3|5|3|1|0
275	20270	21866	KIFAP3,KIF3C,KIF3A,KIF3B	0.000018	0.0877	0.6988	0.414|0.092|0.0|0.0	1095|3254|17469|17469	13|7|3|9
276	21018	22614	ABI2,ABI1,WASF1,WASF3,ENAH,ABL1	0.000028	0.0878	0.6988	0.268|0.176|0.109|0.098|0.0|0.0	1880|2542|3074|3186|17469|17469	7|5|6|6|4|9
277	20390	21986	FADD,TNFRSF10B,TNFRSF10A,CFLAR	0.000003	0.0882	0.6988	0.539|0.035|0.0|0.0	677|3792|17469|17469	7|6|5|3
278	21831	23431	HSP90AA1,PTEN,CHEK2,EZR,CUL2,PRKCI,APPL1,PIK3R1,AKT3,SNAI1,ECHDC1,WARS,AP3D1,ACLY,NR1H2,MED1,PIK3CB,PIK3CD,ACOT8,PDPK1,NNT,FOXO3,FOXO4,PHGDH,MYO5B,PKN2,WDR1,VHL,PRKCZ,PRKDC,AKT1,AKT2,LONP1	0.000045	0.0885	0.6988	1.227|1.205|0.493|0.434|0.401|0.386|0.351|0.31|0.209|0.186|0.155|0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	55|58|818|1023|1150|1207|1385|1605|2265|2449|2685|3162|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	21|16|10|11|10|9|6|7|7|4|4|5|9|10|5|19|9|9|3|2|8|2|1|2|14|10|3|2|4|26|4|4|10
279	21417	23013	STAG2,RAD21,CDCA5,SMC1A,SMC3,PDS5A,PDS5B,STAG1	0.000017	0.0887	0.6988	1.184|1.07|0.144|0.0|0.0|0.0|0.0|0.0	61|88|2775|17469|17469|17469|17469|17469	56|17|4|14|8|11|14|22
280	22047	cut0.25-207	9101 genes including: TP53,PIK3CA,RB1,ARID1A,ELF3,FGFR3,CDKN1A,EP300,ATM,FBXW7,CREBBP,ERBB3,CDKN2A,RHOB,TSC1,NFE2L2,MACF1,C3orf70,RHOA,AKAP9,ERBB2,KLF5,FREM2,RXRA,TRRAP,HRAS,PSIP1,USP34,AHR,DIAPH2,PARD3,KRAS,MICAL2,SCN1A,HSP90AA1,ACTB,PTEN,BRCA1,AKAP6,EPHA2,MECOM,TRIO,NCOA1,LRRCC1,DENND5B,LRP2,ATN1,C5orf42,SSH3,FBN2	0.033205	0.0896	0.7034	3.608|2.782|2.747|2.674|2.367|2.209|2.124|2.061|1.908|1.885|1.788|1.752|1.742|1.713|1.668|1.584|1.583|1.471|1.462|1.452|1.434|1.414|1.394|1.357|1.345|1.337|1.332|1.305|1.288|1.288|1.277|1.252|1.241|1.239|1.227|1.209|1.205|1.175|1.16|1.16|1.159|1.153|1.148|1.139|1.126|1.124|1.118|1.118|1.116|1.099	1|2|3|5|7|8|10|11|13|14|16|17|18|20|21|23|24|29|30|31|33|35|36|39|40|42|43|46|49|49|50|51|53|54|55|57|58|62|67|67|68|69|70|71|73|74|76|76|77|80	200|89|77|104|52|57|39|63|55|33|51|43|27|25|34|26|59|19|19|46|50|22|38|23|38|17|20|38|23|21|24|15|23|30|21|17|16|21|29|22|19|34|22|18|19|41|16|26|17|34
281	22353	cut0.3-345	ZNF845,ZNF28,ZNF813,ZNF468	0.000033	0.0908	0.7059	0.269|0.075|0.07|0.0	1875|3408|3455|17469	12|9|8|8
282	21392	22988	CHEK2,AKT3,ECHDC1,WARS,WDR1,ACLY,AKT2,NNT	0.000011	0.0909	0.7059	0.493|0.209|0.155|0.1|0.0|0.0|0.0|0.0	818|2265|2685|3162|17469|17469|17469|17469	10|7|4|5|3|10|4|8
283	20233	21829	LRRK2,TUBB6,TUBB,TUBA1C	0.000008	0.0909	0.7059	0.321|0.145|0.0|0.0	1539|2765|17469|17469	33|7|4|3
284	22478	cut0.3-468	114 genes including: NEK11,CCDC30,CCDC81,CCDC39,CCDC96,CAPSL,CCDC151,WDR93,MDH1B,LRGUK,DNAI2,EFHB,PPP1R32,RSPH4A,TTLL9,NME9,RSPH1,DNAH7,CCDC65,SPAG8,LRRC23,NME5,ALS2CR12,HYDIN,ROPN1L,NHLRC4,NEK5,CASC1,DNAAF1,FAM216B,TTC21A,DLEC1,ZMYND10,MARCH10,RSPH9,TTLL10,TEKT2,VWA3B,DNAAF3,DNAH12,DNAH3,DNAH5,DNAH6,CDHR3,DNAH9,DNAI1,TTC25,DNAJB13,SPEF1,CNGA4	0.001252	0.0912	0.7059	1.165|0.657|0.521|0.504|0.503|0.475|0.473|0.471|0.392|0.361|0.352|0.317|0.314|0.287|0.275|0.273|0.241|0.239|0.198|0.108|0.106|0.085|0.082|0.075|0.072|0.066|0.06|0.06|0.031|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	63|429|725|782|786|871|879|890|1185|1339|1383|1558|1580|1747|1823|1839|2047|2063|2343|3085|3108|3311|3337|3408|3433|3502|3543|3543|3843|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	17|12|9|10|10|5|10|9|6|12|9|11|6|8|7|5|5|41|6|4|3|3|6|32|3|2|7|9|8|1|9|17|1|9|1|2|4|15|5|5|41|51|13|5|33|5|0|3|2|0
285	20625	22221	EMC3,EMC7,EMC1,EMC2,EMC8	0.000010	0.0920	0.7087	0.263|0.1|0.0|0.0|0.0	1906|3162|17469|17469|17469	5|3|4|0|1
286	20916	22512	USMG5,UQCR10,C14orf2,ATP5L,COX7C	0.000052	0.0922	0.7087	0.367|0.206|0.038|0.0|0.0	1307|2285|3746|17469|17469	3|2|1|1|0
287	22377	cut0.3-372	UTY,ZFY,USP9Y,KDM5D,ZFX	0.000065	0.0931	0.7122	0.275|0.27|0.0|0.0|0.0	1823|1865|17469|17469|17469	8|7|11|4|4
288	21095	22691	CUL3,CUL4B,DDB1,COPS3,COPS6,GPS1	0.000001	0.0933	0.7122	0.386|0.298|0.083|0.048|0.0|0.0	1207|1678|3330|3657|17469|17469	9|9|9|7|1|5
289	21400	22996	EIF2AK2,DHX9,SRRT,STAU1,HNRNPU,SRSF5,HNRNPL,ILF3	0.000034	0.0940	0.7150	0.469|0.369|0.25|0.231|0.021|0.0|0.0|0.0	894|1293|1999|2110|3950|17469|17469|17469	9|19|12|9|9|2|3|6
290	22417	cut0.3-410	INO80,INO80E,MCRS1,NFRKB,ACTR5,INO80C,INO80D	0.000020	0.0944	0.7156	0.653|0.24|0.04|0.0|0.0|0.0|0.0	436|2053|3723|17469|17469|17469|17469	23|4|6|9|2|0|8
291	21207	22803	AP2B1,EPS15,AP2A1,AP2A2,AP2M1,AP2S1	0.000002	0.0958	0.7203	0.543|0.271|0.043|0.0|0.0|0.0	668|1855|3697|17469|17469|17469	12|12|5|5|2|1
292	20989	22585	COPS2,COPS4,COPS3,COPS5,COPS6,COPS8	0.000018	0.0959	0.7203	0.754|0.461|0.048|0.0|0.0|0.0	297|926|3657|17469|17469|17469	10|8|7|2|1|2
293	22327	cut0.3-316	STARD8,PDZRN3,SFRP1,FZD4	0.000050	0.0960	0.7203	0.309|0.188|0.0|0.0	1615|2425|17469|17469	6|10|2|2
294	21529	23126	NCOR2,NCOR1,SIRT1,SOX2,SNW1,HDAC3,TRIM28,NRDC,NR1I2,SAFB	0.000075	0.0965	0.7216	0.726|0.638|0.623|0.403|0.248|0.0|0.0|0.0|0.0|0.0	334|457|495|1142|2009|17469|17469|17469|17469|17469	15|32|10|6|7|1|5|0|4|10
295	21891	23491	91 genes including: EEF1A1,MTDH,CEBPZ,NOC3L,EIF3A,ESF1,DDX18,NAT10,IMP4,RRP15,RPL26,RPS6,RPL17,RSL1D1,RPS2,WDR36,GAR1,EIF2S1,STAU1,RPF2,RPL15,DHX30,HP1BP3,DDX24,NOP58,PAK1IP1,NOP16,RPS13,RPL6,RPL7L1,HNRNPU,RPL5,RPL10,RRP1B,BOP1,RRS1,GPATCH4,FTSJ3,RPL13A,MYBBP1A,DKC1,NOC2L,BRIX1,PABPC1,RPL18A,NOLC1,GTPBP4,NOP2,NOP56,CCDC86	0.000257	0.0981	0.7311	0.687|0.596|0.592|0.508|0.491|0.473|0.428|0.42|0.419|0.418|0.4|0.362|0.335|0.314|0.302|0.296|0.271|0.267|0.231|0.198|0.195|0.177|0.156|0.097|0.092|0.062|0.051|0.04|0.038|0.033|0.021|0.01|0.008|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	379|550|558|766|825|879|1044|1073|1074|1077|1153|1334|1469|1580|1655|1689|1855|1886|2110|2343|2374|2535|2678|3203|3254|3523|3632|3723|3746|3816|3950|4079|4097|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469|17469	10|7|13|11|15|13|9|13|5|6|4|6|4|6|5|14|4|5|9|4|3|11|5|10|6|4|2|2|3|3|9|3|2|7|3|2|2|9|0|5|2|7|2|7|1|3|2|8|6|3
296	21504	23101	CSNK2A1,WEE1,RNF2,RNF7,RPL5,EIF2S2,PSMF1,CDC34,CSNK2B	0.000037	0.1002	0.7356	0.889|0.439|0.284|0.104|0.01|0.0|0.0|0.0|0.0	181|999|1767|3123|4079|17469|17469|17469|17469	12|9|5|3|3|1|2|1|0
