System.names	No.genes	Selection.pressure	p	q	Genes	Gene.ranks	Signal
PLAG1	206	7e-04	0.721	0.9747	ABCD4|MTHFS|SERPINA1|BCL2|SNRNP27|RANBP6|RBM39|POLD4|UBA7|TP53I3|DBF4|GATA4|IRF5|TNFRSF10B|PLEK|MCM4|CUL7|MET|TTI1|CBARA1	10|32|63|106|135|137|142|186|199|212|307|344|369|369|382|407|415|432|450|456	6.12|5.75|5.54|5.34|5.24|5.23|5.21|5.04|-5|4.94|4.7|4.62|4.55|-4.55|-4.52|4.47|-4.46|4.43|-4.37|-4.36
VDR	274	7e-04	0.721	0.9747	GATA3|ST5|TNFRSF8|BCAS1|ACOT7|LRRC32|SUPT5H|RPIA|CNPY3|DSTN|LPHN3|BAIAP3|DBF4|SLC1A3|PLEK|ITGA6|PEA15|TNFAIP2|TNFSF8|CENPF	19|93|103|143|146|164|184|190|248|251|259|289|307|338|382|388|392|415|445|459	5.95|5.4|5.36|-5.2|-5.17|5.11|5.05|5.02|-4.84|-4.83|-4.8|4.73|4.7|4.63|-4.52|-4.51|4.5|-4.46|-4.38|-4.35
ZC3H4	292	7e-04	0.721	0.9747	AKAP12|CSNK1D|PIK3C3|PLAGL2|ARL4A|MGST3|HADHA|BLVRB|SUPT5H|SERPINB6|WNK1|TNKS|IDI1|GPLD1|RNASE2|EIF5|SC4MOL|FAM120A|ITGA6|LCP2	18|20|39|61|70|91|152|179|184|194|219|228|269|284|289|293|307|358|388|402	6|5.94|5.71|5.55|5.51|5.41|5.15|-5.06|5.05|5.01|4.92|4.9|-4.77|4.74|4.73|-4.72|4.7|4.58|-4.51|4.48
CIR1	203	8e-04	0.722	0.9747	LDHA|ABCF1|MTHFD2|TIMP1|ARID4A|USPL1|R3HDM1|ADAM28|PFAS|CCDC6|NRD1|RFPL1|USP46|LGR5|PHKA2|TBCE|RASA2|MXRA7|ALDH5A1|C7	5|56|75|100|209|236|251|257|284|297|297|344|358|402|402|402|485|547|590|604	6.34|5.57|-5.49|-5.38|4.96|4.87|4.83|4.81|-4.74|4.71|4.71|-4.62|-4.58|-4.48|-4.48|4.48|-4.3|-4.18|-4.12|4.1
NFIL3	227	8e-04	0.727	0.9747	KCNAB1|CEP110|U2AF2|CYP24A1|NCKAP1L|TIMP1|DST|FCER1G|SAT1|WDR73|SEC62|THBD|BANF1|GRLF1|ID2|C11orf49|ICAM1|FAM131A|LYN|ELAC2	14|46|49|57|82|100|112|129|190|253|269|269|293|327|344|351|485|499|558|604	6.07|-5.67|-5.62|-5.56|-5.45|-5.38|5.32|5.27|5.02|-4.82|4.77|4.77|4.72|4.65|4.62|4.6|4.3|4.28|-4.17|4.1
BRPF1	261	7e-04	0.727	0.9747	MTF1|BTN1A1|SERPINA1|RIN2|UBE2E1|SLC2A3|VPS41|BLVRB|SUPT5H|KIF3A|BST2|STXBP3|STARD13|PLAT|ACO1|POU2F1|NR4A2|SCAMP1|SAFB|SEMG2	39|43|63|72|87|91|96|179|184|219|228|244|269|333|358|362|364|392|397|397	5.71|5.68|5.54|-5.5|5.42|5.41|5.39|-5.06|5.05|4.92|4.9|-4.85|4.77|4.64|-4.58|-4.57|4.56|4.5|4.49|4.49
BCL11A	535	6e-04	0.728	0.9747	LDHA|ROR1|PSMC1|CLPS|PLAGL2|LOC100129361|SLC25A3|TPP1|TNFRSF8|FMOD|RRP12|DST|ACOT7|HIST1H3D|KCNA5|PLXNA2|KIAA0040|POLD4|SAT1|DYNLT3	5|6|36|49|61|77|93|101|103|110|110|112|146|156|156|156|168|186|190|194	6.34|6.33|5.72|5.62|5.55|5.48|5.4|5.37|5.36|5.33|5.33|5.32|-5.17|5.14|5.14|5.14|-5.1|5.04|5.02|5.01
NEUROG3	189	7e-04	0.73	0.9747	VPS13D|CYP24A1|HOMER2|TIMP1|UTF1|ARHGAP6|KCNA5|PLXNA2|HYAL3|WNT5A|TICAM1|SRGN|PLAT|SLC1A3|TNFRSF10B|TNFRSF4|SLC5A6|ADSS|ITGB5|KRT35	15|57|87|100|115|148|156|156|202|248|280|312|333|338|369|382|415|499|518|598	6.05|-5.56|5.42|-5.38|5.31|5.16|5.14|5.14|4.99|-4.84|4.75|-4.69|4.64|4.63|-4.55|4.52|4.46|4.28|-4.24|4.11
GATAD1	241	8e-04	0.731	0.9747	WNT10B|TIAM1|BTBD3|MTF1|KCNAB2|RFK|HOMER2|VPRBP|VDAC2|ACOT7|ATP5C1|KIF3B|NFX1|SOD1|NR1D1|DSTN|WDR73|HMGB1|DBF4|GYS2	8|33|39|39|52|63|87|91|144|146|160|161|228|234|244|251|253|293|307|307	6.26|5.74|-5.71|5.71|5.59|5.54|5.42|-5.41|-5.19|-5.17|5.13|5.12|4.9|-4.88|4.85|-4.83|-4.82|-4.72|4.7|4.7
TRIM28	311	7e-04	0.731	0.9747	CSNK1D|U2AF2|CS|CAMTA1|FMOD|SRRT|DKK4|HMGA1|SUPT5H|CTNND1|WNK1|NFATC4|STXBP3|POLD1|BANF1|DBF4|ZNF318|ATP5D|PWP1|CTF1	20|49|66|80|110|120|126|152|184|216|219|230|244|253|293|307|312|321|358|382	5.94|-5.62|5.52|5.46|5.33|5.29|-5.28|5.15|5.05|-4.93|4.92|4.89|-4.85|4.82|4.72|4.7|4.69|4.66|4.58|-4.52
HESX1	202	7e-04	0.732	0.9747	BDNF|MTHFS|SLC25A3|DKK4|CLK1|LRRC32|SCCPDH|ABCB9|MAT2A|NFATC4|MPG|POLD3|LMAN2|BAIAP3|ACOX1|PGAP1|OAS1|OSTF1|N4BP2L2|CDK2AP2	27|32|93|126|135|164|179|199|219|230|269|269|284|289|373|373|382|392|407|415	5.81|5.75|5.4|-5.28|5.24|5.11|5.06|5|4.92|4.89|4.77|4.77|4.74|4.73|4.54|4.54|4.52|-4.5|-4.47|4.46
WIZ	252	7e-04	0.733	0.9747	ABCF1|LOC100129361|TPP1|RANBP6|ERH|PHF21A|SCCPDH|SUPT5H|PLCB2|KLC1|DHCR24|USP46|SEPT7|SPAG7|PEA15|SCAMP1|ST20|EIF2B5|COL18A1|INTS1	56|77|101|137|142|156|179|184|187|205|275|358|382|382|392|392|436|494|547|547	5.57|5.48|5.37|5.23|-5.21|-5.14|5.06|5.05|5.03|4.98|4.76|-4.58|4.52|4.52|4.5|4.5|4.42|4.29|-4.18|-4.18
FOXO1	288	7e-04	0.738	0.9793	BUB3|SRRT|EIF4G3|POLD4|LYPLA1|USPL1|STXBP3|FCGR3A|DHCR24|HMGB1|CUL3|SC4MOL|ZNF318|EXTL3|S100A1|AHCY|TRIB1|SRSF10|B4GALT2|RFC1	70|120|130|186|222|236|244|269|275|293|297|307|312|344|442|467|473|509|513|529	5.51|5.29|5.26|5.04|4.91|4.87|-4.85|4.77|4.76|-4.72|-4.71|4.7|4.69|-4.62|4.39|4.34|-4.32|-4.26|4.25|-4.22
SREBF1	179	7e-04	0.741	0.9796	BTBD3|BPGM|SORBS2|CFDP1|HIST1H3D|TNFRSF10B|APOBEC3F|CASP1|ATXN2L|CYB5A|ERCC3|MGLL|MRC1L1|UBE3C|UQCRB|TSPAN6|UNC13B|PSMB8|DDX39B|ISG15	39|43|96|126|156|369|397|426|445|534|566|574|598|604|683|736|789|804|814|814	-5.71|5.68|-5.39|-5.28|5.14|-4.55|-4.49|-4.44|4.38|4.21|-4.16|4.15|-4.11|4.1|3.97|-3.9|3.84|3.8|3.77|-3.77
RFX1	177	8e-04	0.742	0.9796	SERPINA1|HOMER2|PLXNA2|WNK1|BST2|SRGN|ZFPL1|GRLF1|EXTL3|TTI1|TMEM147|N4BP3|RHBDL1|KCNJ15|ATP6V0A2|SCHIP1|HEXB|CRABP1|POU4F1|TAF1B	63|87|156|219|228|312|319|327|344|450|456|467|467|499|518|558|566|618|655|655	5.54|5.42|5.14|4.92|4.9|-4.69|-4.67|4.65|-4.62|-4.37|4.36|-4.34|4.34|4.28|-4.24|4.17|4.16|-4.07|-4.01|-4.01
TCFL5	302	6e-04	0.744	0.9796	WNT10B|TFF2|ARPC2|ALDH9A1|CLEC11A|DNM1L|UBE2E1|ATP6V0C|TNFRSF8|PRKAA2|SNRNP27|ABHD5|TCERG1|SERPINB6|TP53I3|NR2C1|UBFD1|PLAT|SEC24B|ESD	8|22|54|61|82|84|87|100|103|135|135|139|172|194|212|312|316|333|338|344	6.26|5.88|5.58|5.55|5.45|5.43|5.42|-5.38|5.36|5.24|5.24|5.22|-5.08|5.01|4.94|4.69|-4.68|4.64|4.63|-4.62
TFCP2	281	6e-04	0.75	0.9796	LDHA|CLEC11A|NCKAP1L|FCER1G|TULP1|POLD4|ADD1|HBXIP|MARCH2|IDI1|DHCR24|IL1B|RNASE2|EIF5|NR2C1|C1orf9|SLC1A3|OSTF1|SAFB|TBCE	5|82|82|129|152|186|234|234|251|269|275|289|289|293|312|319|338|392|397|402	6.34|5.45|-5.45|5.27|5.15|5.04|4.88|-4.88|4.83|-4.77|4.76|-4.73|4.73|-4.72|4.69|4.67|4.63|-4.5|4.49|4.48
CSRNP2	274	6e-04	0.751	0.9796	ZBTB43|SPON1|TIAM1|PIK3C3|U2AF2|ABCC10|CAMTA1|DRG1|TNFAIP3|POLD4|KIF3A|BST1|SEC24B|SLC1A3|TUSC3|RHBDL1|SRSF10|HARS2|APOBEC3C|C7	11|16|33|39|49|75|80|152|184|186|219|275|338|338|362|467|509|574|580|604	6.11|-6.04|5.74|5.71|-5.62|5.49|5.46|5.15|5.05|5.04|4.92|4.76|4.63|4.63|4.57|4.34|-4.26|4.15|4.14|4.1
TBR1	152	8e-04	0.753	0.9796	WNT10B|MTF1|PTCH1|NADK|SRRT|KCNA5|LYPLA1|PADI2|C9|KLK3|GATA4|UVRAG|CHRND|DOK2|RFC1|SYNJ1|HMGA2|MRC1L1|FUBP3|TAF1B	8|39|47|120|120|156|222|261|280|321|344|436|456|503|529|529|580|598|631|655	6.26|5.71|5.63|-5.29|5.29|5.14|4.91|-4.79|4.75|4.66|4.62|-4.42|4.36|-4.27|-4.22|4.22|-4.14|-4.11|-4.05|-4.01
IRF9	247	6e-04	0.755	0.9796	SERPINA1|ATP6V0C|CFDP1|FCER1G|TMSB15A|SAT1|UBA7|CTNND1|ZEB2|DSCR3|ETFDH|CASP8|FCGR3A|CAPN2|THBS2|ACP5|CAPG|OAS1|SCAMP1|TBCE	63|100|126|129|184|190|199|216|222|238|244|248|269|307|348|376|376|382|392|402	5.54|-5.38|-5.28|5.27|-5.05|5.02|-5|-4.93|4.91|4.86|-4.85|4.84|4.77|-4.7|-4.61|-4.53|4.53|4.52|4.5|4.48
ADNP2	214	7e-04	0.757	0.9796	CSNK1D|SLC25A16|KIAA0182|NCKAP1L|TNFRSF8|RRP12|M6PR|PMVK|TTF1|SEC62|TICAM1|EIF5|JOSD1|MRPS11|SEC24B|FAM120A|ACOX1|ZNF273|VHL|MNT	20|36|52|82|103|110|202|228|234|269|280|293|307|307|338|358|373|397|415|442	5.94|5.72|5.59|-5.45|5.36|5.33|-4.99|-4.9|4.88|4.77|4.75|-4.72|4.7|-4.7|4.63|4.58|4.54|-4.49|-4.46|4.39
CHD5	195	7e-04	0.757	0.9796	KCNAB1|MTHFD2|HOMER2|KIF3B|CDH18|CTF1|OAS1|CUL7|LDOC1|GALNS|TMEM147|PCK1|MXRA7|FEZ2|NCF4|KIAA0494|LRP8|HNRNPL|RALY|RTN4	14|75|87|161|369|382|382|415|436|442|456|479|547|590|673|695|721|771|833|833	6.07|-5.49|5.42|5.12|-4.55|-4.52|4.52|-4.46|4.42|4.39|4.36|4.31|-4.18|-4.12|3.99|3.95|3.92|3.86|3.74|-3.74
HR	152	7e-04	0.758	0.9796	SLC25A16|NLGN4Y|RAD23B|KLF5|CUL3|ZNF254|PRKAB1|ADSS|ARR3|PSMD13|ZIC2|NDUFS6|ZNF799|IER2|EXPH5|MAP2|TERF1|CDYL|DR1|TLX2	36|78|100|142|297|426|479|499|499|566|598|692|706|804|833|838|838|974|983|994	5.72|5.47|5.38|5.21|-4.71|4.44|4.31|4.28|4.28|-4.16|-4.11|-3.96|-3.94|3.8|-3.74|3.73|3.73|-3.58|3.57|3.55
ZNF91	201	7e-04	0.758	0.9796	MTF1|RFK|ARL4A|ABCC10|SLC25A3|TPP1|ETS2|BMPR2|CEP68|ACOX1|CAPG|ZNF273|LGR5|PHKA2|RNASE6|ATP7A|CSRP1|MXRA7|LYN|PLAUR	39|63|70|75|93|101|184|244|364|373|376|397|402|402|426|467|467|547|558|580	5.71|5.54|5.51|5.49|5.4|5.37|5.05|-4.85|4.56|4.54|4.53|-4.49|-4.48|-4.48|-4.44|4.34|4.34|-4.18|-4.17|4.14
GABPA	258	6e-04	0.758	0.9796	RABEPK|SPON1|KIAA0182|DNM1L|AAMP|THOC2|SRRT|PRKAA2|SRSF3|RANBP6|KLF5|RBM39|BTAF1|BLVRB|CBARA1|TMEM147|PCK1|PRKAB1|TBXAS1|UGP2	1|16|52|84|91|115|120|135|135|137|142|142|160|179|456|456|479|479|499|509	6.47|-6.04|5.59|5.43|5.41|5.31|5.29|5.24|-5.24|5.23|5.21|5.21|5.13|-5.06|-4.36|4.36|4.31|4.31|-4.28|4.26
NKX2-1	202	6e-04	0.76	0.9796	PBX2|CLPS|DNM1L|B4GALT6|RBM39|THUMPD1|RPS17|SETD3|TSHB|M6PR|TNKS|IL1B|SEC24B|DDIT4|EPX|FAM120A|CDH18|PGAP1|C11orf51|ZNF254	46|49|84|120|142|160|176|179|199|202|228|289|338|344|358|358|369|373|415|426	5.67|5.62|5.43|5.29|5.21|5.13|5.07|5.06|5|-4.99|4.9|-4.73|4.63|-4.62|4.58|4.58|-4.55|4.54|4.46|4.44
TCEAL1	328	5e-04	0.762	0.9796	RABEPK|SAA1|ARPC2|PLAGL2|CS|IFI35|HMGA1|PLCB2|CTNND1|MARCH2|POLD1|NCOA1|PMPCA|STARD13|SEC24B|DOK1|ADD2|APOBEC3F|SLC5A6|AHCY	1|13|54|61|66|103|152|187|216|251|253|257|257|269|338|351|397|397|415|467	6.47|6.09|5.58|5.55|5.52|5.36|5.15|5.03|-4.93|4.83|4.82|4.81|-4.81|4.77|4.63|-4.6|4.49|-4.49|4.46|4.34
ZNF248	257	6e-04	0.763	0.9796	CSNK1D|WBP4|MTHFS|RIN2|ATP6V0C|TNFRSF8|RRP12|SLC25A36|DSCR3|MPG|NR4A2|SCAMP1|TBCE|SLC5A6|ZNF254|KDELR2|ST20|MYOM1|NFYC|UGP2	20|27|32|72|100|103|110|110|238|269|364|392|402|415|426|432|436|445|494|509	5.94|5.81|5.75|-5.5|-5.38|5.36|5.33|-5.33|4.86|4.77|4.56|4.5|4.48|4.46|4.44|-4.43|4.42|4.38|4.29|4.26
NOTCH3	546	5e-04	0.764	0.9796	SPON1|KCNA3|WISP2|PTPRCAP|SORBS2|TIMP1|FMOD|ARHGEF17|THUMPD1|BLVRB|HYAL3|ARID4A|NFATC4|RNF41|FCGR3A|IDI1|STARD13|THBD|HOXC6|LDB2	16|70|87|96|96|100|110|126|160|179|202|209|230|248|269|269|269|269|280|280	-6.04|5.51|5.42|5.39|-5.39|-5.38|5.33|-5.28|5.13|-5.06|4.99|4.96|4.89|-4.84|4.77|-4.77|4.77|4.77|4.75|4.75
ZMIZ2	256	6e-04	0.766	0.9796	KCNAB2|RDBP|CLCN7|RANBP6|ERH|KLF5|ARHGAP6|DRG1|ATP5C1|SUPT5H|KLC1|NCOA1|POLD3|LMAN2|MRPS11|TEAD3|ARCN1|SKIV2L2|ATXN2L|CHRND	52|70|126|137|142|142|148|152|160|184|205|257|269|284|307|388|426|426|445|456	5.59|5.51|5.28|5.23|-5.21|5.21|5.16|5.15|5.13|5.05|4.98|4.81|4.77|4.74|-4.7|4.51|-4.44|4.44|4.38|4.36
FOXO3	246	5e-04	0.775	0.9796	LDHA|CPT1B|KCNAB2|CAMTA1|ENSA|ERH|ATP5C1|LYPLA1|NR1D1|FCGR3A|BAIAP3|KDM6B|TEAD3|C11orf51|GATM|TAL1|AHCY|MDH1|SEC23B|FAM3C	5|21|52|80|112|142|160|222|244|269|289|373|388|415|456|459|467|472|479|485	6.34|5.9|5.59|5.46|5.32|-5.21|5.13|4.91|4.85|4.77|4.73|-4.54|4.51|4.46|-4.36|4.35|4.34|4.33|-4.31|-4.3
IFI16	275	5e-04	0.776	0.9796	TRIM25|CLTA|PIK3C3|PLAGL2|SERPINA1|RBM39|TNFAIP3|WNK1|SEC62|STARD13|EIF5|DBF4|GYS2|C1orf9|PLEKHB1|OAS1|SEPT7|CAP2|EIF1AY|ZMIZ2	8|28|39|61|63|142|184|219|269|269|293|307|307|319|333|382|382|392|432|432	6.26|5.8|5.71|5.55|5.54|5.21|5.05|4.92|4.77|4.77|-4.72|4.7|4.7|4.67|4.64|4.52|4.52|4.5|4.43|-4.43
HIVEP2	321	6e-04	0.777	0.9796	VPS13D|KIAA0141|CS|ABCC10|HIST1H2AE|NCKAP1L|FMOD|POLR2F|PHF21A|KIAA0040|SRF|M6PR|NRD1|SELE|PLEK|SEPT7|OSTF1|SLC5A6|PCDHGA12|MECP2	15|40|66|75|80|82|110|139|156|168|176|202|297|327|382|382|392|415|438|450	6.05|5.69|5.52|5.49|5.46|-5.45|5.33|5.22|-5.14|-5.1|5.07|-4.99|4.71|-4.65|-4.52|4.52|-4.5|4.46|-4.41|-4.37
MEF2C	307	5e-04	0.777	0.9796	NSMAF|ABCF1|FABP5|NCKAP1L|THOC2|GTF2I|POLD4|WNK1|SOD1|RHOQ|SRGN|ID2|OAS1|ADD2|LGR5|TBCE|ASAP2|ATXN2L|TRIB1|RASA2	52|56|75|82|115|172|186|219|234|293|312|344|382|397|402|402|418|445|473|485	5.59|5.57|5.49|-5.45|5.31|-5.08|5.04|4.92|-4.88|-4.72|-4.69|4.62|4.52|4.49|-4.48|4.48|4.45|4.38|-4.32|-4.3
RNF4	296	5e-04	0.777	0.9796	ZC3H4|CSNK1D|RPL17|RPL12|WISP2|RPS19|PHF21A|RNF167|RPS17|SRF|PMPCA|BANF1|JOSD1|AUH|MXRA5|TNFRSF10B|OSTF1|ISCA1|ST20|ATXN2L	4|20|23|31|87|148|156|160|176|176|257|293|307|362|362|369|392|402|436|445	6.37|5.94|5.85|5.76|5.42|5.16|-5.14|5.13|5.07|5.07|-4.81|4.72|4.7|-4.57|4.57|-4.55|-4.5|4.48|4.42|4.38
FOS	274	6e-04	0.778	0.9796	COX10|CPT1B|CST7|KIAA0141|RAB3GAP2|CAMSAP1|NCKAP1L|SLC2A3|HLA-DMA|ACADL|FCER1G|VDAC2|SAT1|SERPINB6|SNRNP40|EPRS|IL1B|EEF2|UBFD1|NR4A2	4|21|36|40|54|61|82|91|110|129|129|144|190|194|199|284|289|307|316|364	6.37|5.9|5.72|5.69|5.58|5.55|-5.45|5.41|5.33|-5.27|5.27|-5.19|5.02|5.01|5|4.74|-4.73|-4.7|-4.68|4.56
PFDN1	253	5e-04	0.778	0.9796	MTHFS|BTBD3|ADA|ALDH9A1|CLCN7|LCP1|ABHD5|POLR2F|RAP2A|RPS17|PIGH|ARNTL|PMPCA|FBXO9|BANF1|HIST1H2AH|C1orf9|SEC24B|ESD|FHL2	32|39|43|61|126|126|139|139|164|176|228|236|257|289|293|316|319|338|344|348	5.75|-5.71|5.68|5.55|5.28|5.28|5.22|5.22|5.11|5.07|-4.9|-4.87|-4.81|-4.73|4.72|4.68|4.67|4.63|-4.62|-4.61
ZHX2	298	5e-04	0.778	0.9796	ZC3H4|SAA1|NADK|SRRT|RBM39|GTF2I|PMF1|ZBTB16|ABCB9|BST2|IDI1|SEC62|USP24|DBF4|ZNF318|ABLIM1|PLEK|SEPT7|NCLN|ARCN1	4|13|120|120|142|172|186|190|199|228|269|269|297|307|312|338|382|382|415|426	6.37|6.09|-5.29|5.29|5.21|-5.08|5.04|5.02|5|4.9|-4.77|4.77|4.71|4.7|4.69|4.63|-4.52|4.52|4.46|-4.44
MAFF	273	5e-04	0.783	0.9796	SAA1|CSNK1D|SLC25A16|RAB3GAP2|ATP6V0C|SRRT|FCER1G|POLR2F|GTF2I|PTPRE|TNFAIP3|SERPINA5|LDB2|TICAM1|SRGN|SPRY2|MRFAP1L1|C11orf49|NR4A2|ACOX1	13|20|36|54|100|120|129|139|172|176|184|275|280|280|312|316|327|351|364|373	6.09|5.94|5.72|5.58|-5.38|5.29|5.27|5.22|-5.08|-5.07|5.05|4.76|4.75|4.75|-4.69|-4.68|4.65|4.6|4.56|4.54
PHF2	361	5e-04	0.783	0.9796	LDHA|RPL17|BTN1A1|ABCF1|CAMTA1|ST5|TPP1|CLK1|RPS19|FMNL1|RPL38|ZBTB16|BMI1|EPRS|USP24|GYPE|SPRY2|PLEKHB1|WDR45L|METTL1	5|23|43|56|80|93|101|135|148|168|168|190|275|284|297|307|316|333|436|438	6.34|5.85|5.68|5.57|5.46|5.4|5.37|5.24|5.16|5.1|-5.1|5.02|4.76|4.74|4.71|4.7|-4.68|4.64|4.42|-4.41
PLAGL2	278	5e-04	0.783	0.9796	ZC3H4|ABCD4|KIAA0141|ADA|BPGM|BTN1A1|ABCF1|TSN|RAD23B|DKK4|THUMPD1|DYNLT3|SERPINB6|WNT5A|SEC22B|GYS2|SPRY2|SELE|P2RX1|SAFB	4|10|40|43|43|43|56|61|100|126|160|194|194|248|259|307|316|327|376|397	6.37|6.12|5.69|5.68|5.68|5.68|5.57|5.55|5.38|-5.28|5.13|5.01|5.01|-4.84|4.8|4.7|-4.68|-4.65|4.53|4.49
ZNF250	194	6e-04	0.784	0.9796	LDHA|ABCD4|POU3F2|WBP4|ADA|ARPC2|ARL4A|POLR2F|TULP1|TMSB15A|ABCB9|LPHN3|SNRPC|GPLD1|BMP3|ID2|RNASE6|LDB1|KRT76|PTPRO	5|10|18|27|43|54|70|139|152|184|199|259|261|284|338|344|426|586|692|721	6.34|6.12|6|5.81|5.68|5.58|5.51|5.22|5.15|-5.05|5|-4.8|4.79|4.74|4.63|4.62|-4.44|4.13|-3.96|-3.92
RB1	214	6e-04	0.788	0.9819	ABCD4|KCNAB1|SPON1|UBE2E1|SRF|RNF115|PLA2G4C|LYPLA1|GPLD1|RHOQ|CCDC6|SELE|PLEK|ADM|VHL|ARCN1|PCDHGA12|NFYC|IKZF1|COL18A1	10|14|16|87|176|209|212|222|284|293|297|327|382|388|415|426|438|494|536|547	6.12|6.07|-6.04|5.42|5.07|4.96|4.94|4.91|4.74|-4.72|4.71|-4.65|-4.52|4.51|-4.46|-4.44|-4.41|4.29|-4.2|-4.18
CLOCK	263	6e-04	0.789	0.9819	LDHA|CLTA|SLC2A3|CLCN7|LCP1|VWA5A|SRSF3|ATP5C1|SNRNP40|LYPLA1|HBXIP|MRPS11|RPS6KA3|N4BP2L2|SLC5A6|CASP1|FLT1|TKTL1|MYOM1|TNFSF8	5|28|91|126|126|129|135|160|199|222|234|307|388|407|415|426|426|432|445|445	6.34|5.8|5.41|5.28|5.28|5.27|-5.24|5.13|5|4.91|-4.88|-4.7|4.51|-4.47|4.46|-4.44|4.44|-4.43|4.38|-4.38
JUND	627	5e-04	0.791	0.9824	ZBTB43|TXNL4A|RPL17|CLTA|BUB3|MTHFD2|ZFP36L2|UBE2E1|VPRBP|ATP6V0C|TPP1|HLA-DMA|CLCN7|ERH|KLF5|VDAC2|ACOT7|ATP5C1|BTAF1|FMNL1	11|12|23|28|70|75|84|87|91|100|101|110|126|142|142|144|146|160|160|168	6.11|6.1|5.85|5.8|5.51|-5.49|5.43|5.42|-5.41|-5.38|5.37|5.33|5.28|-5.21|5.21|-5.19|-5.17|5.13|5.13|5.1
LYL1	362	4e-04	0.794	0.9841	ARPC2|SERPINA1|LOC100129361|HIST1H2AE|SLC2A3|SLC25A3|FMOD|KIAA0040|PTPRE|SETD3|POLD4|SAT1|TNKS|KRT5|FCGR3A|IDI1|BST1|EIF5|JOSD1|SC4MOL	54|63|77|80|91|93|110|168|176|179|186|190|228|257|269|269|275|293|307|307	5.58|5.54|5.48|5.46|5.41|5.4|5.33|-5.1|-5.07|5.06|5.04|5.02|4.9|-4.81|4.77|-4.77|4.76|-4.72|4.7|4.7
CREB3L2	386	4e-04	0.796	0.9841	ROR1|TXNL4A|BPGM|PBX2|CS|KCNA3|ATP6V0C|TIMP1|BCL2|FMOD|BBOX1|NFX1|NR1D1|ADAM28|SNRPC|HOXC6|LDB2|RNASE2|CAPN2|CEP68	6|12|43|46|66|70|100|100|106|110|137|228|244|257|261|280|280|289|307|364	6.33|6.1|5.68|5.67|5.52|5.51|-5.38|-5.38|5.34|5.33|5.23|4.9|4.85|4.81|4.79|4.75|4.75|4.73|-4.7|4.56
GRLF1	213	6e-04	0.803	0.9841	POP5|WBP4|CEP110|DENND5A|THUMPD1|SAT1|GFPT2|GRAP2|RNF115|ZNF318|JUP|ACP5|PEA15|ZNF254|PCDHGA12|GALNT1|ATP11B|MXRA7|PSMB9|DUSP2	2|27|46|46|160|190|199|207|209|312|348|376|392|426|438|485|494|547|574|631	6.45|5.81|-5.67|5.67|5.13|5.02|-5|4.97|4.96|4.69|4.61|-4.53|4.5|4.44|-4.41|-4.3|4.29|-4.18|4.15|4.05
MYBL2	240	6e-04	0.803	0.9841	PLAGL2|HMGA1|BLVRB|GRAP2|ARNTL|CAPN2|STMN1|PIK3IP1|ESD|FLT3|MST1|MCM4|N4BP2L2|CDC45|LIG1|KPNA2|ATP6V0A2|TIMELESS|PSMD13|ABCB1	61|152|179|207|236|307|316|333|344|369|388|407|407|456|459|467|518|524|566|574	5.55|5.15|-5.06|4.97|-4.87|-4.7|4.68|4.64|-4.62|4.55|4.51|4.47|-4.47|-4.36|4.35|-4.34|-4.24|-4.23|-4.16|-4.15
CREM	239	5e-04	0.803	0.9841	ZC3H4|MTHFS|ARPC2|CAMSAP1|ARL4A|ABCC10|RRN3|VPS41|ATP6V0C|SLC25A36|LCP1|KIAA0040|RNF115|WDR73|PADI2|IDI1|DDIT4|AUH|SCAMP1|SLC5A6	4|32|54|61|70|75|77|96|100|110|126|168|209|253|261|269|344|362|392|415	6.37|5.75|5.58|5.55|5.51|5.49|5.48|5.39|-5.38|-5.33|5.28|-5.1|4.96|-4.82|-4.79|-4.77|-4.62|-4.57|4.5|4.46
ZNF175	151	6e-04	0.804	0.9841	PIK3C3|KIAA0141|ALDH9A1|WISP2|RECQL|IVD|ZBTB48|C2CD2|C7|FUBP3|STK38L|IL8|PCP4|ZCCHC11|PTPRT|TFAP4|SREBF1|MRPL28|CPEB3|ICOS	39|40|61|87|202|472|479|598|604|631|678|747|756|779|789|875|898|929|943|983	5.71|5.69|5.55|5.42|4.99|-4.33|-4.31|-4.11|4.1|-4.05|-3.98|3.89|3.88|3.85|3.84|-3.69|-3.67|3.63|-3.61|-3.57
CITED2	240	5e-04	0.804	0.9841	BPGM|KCNAB2|RIN2|HIST1H2AE|ARHGEF17|RANBP6|ARHGAP6|HIST1H3D|BLVRB|HSPA13|SLC25A12|TP53I3|BST2|SEC62|SERPINA5|EEF2|SRGN|EXTL3|FHL2|ITGA6	43|52|72|80|126|137|148|156|179|184|194|212|228|269|275|307|312|344|348|388	5.68|5.59|-5.5|5.46|-5.28|5.23|5.16|5.14|-5.06|-5.05|5.01|4.94|4.9|4.77|4.76|-4.7|-4.69|-4.62|-4.61|-4.51
